sample_id,comparison,num_foci,delta_dice,delta_component_recall,delta_merge_count,ssq_dice,ablation_dice,ssq_merge_count,ablation_merge_count
sample_1683,w/o transport-aware footprint,1,0.15527003201585798,0.0,0.0,0.8140735958685021,0.6588035638526442,0.0,0.0
sample_1686,w/o transport-aware footprint,2,0.0834322917938144,0.0,0.0,0.8256194914863986,0.7421871996925842,0.0,0.0
sample_1688,w/o transport-aware footprint,3,-0.12949157176036674,0.0,0.0,0.5941575629243014,0.7236491346846682,0.0,0.0
sample_1697,w/o transport-aware footprint,2,0.08589536007365883,0.0,0.0,0.6319079603646792,0.5460126002910204,0.0,0.0
sample_1717,w/o transport-aware footprint,3,0.01851270607742561,-0.33333333333333337,0.0,0.7505705086124135,0.7320578025349879,0.0,0.0
sample_1718,w/o transport-aware footprint,3,0.11274205586327057,0.33333333333333337,-1.0,0.6830859267840147,0.5703438709207441,0.0,1.0
sample_1729,w/o transport-aware footprint,2,0.03814307515279458,0.0,0.0,0.8125925348711817,0.7744494597183871,0.0,0.0
sample_1731,w/o transport-aware footprint,2,-0.08270584130783132,0.0,0.0,0.6397989949752363,0.7225048362830676,0.0,0.0
sample_1734,w/o transport-aware footprint,2,-0.07226810100585512,0.0,0.0,0.7218463987267323,0.7941144997325874,0.0,0.0
sample_1741,w/o transport-aware footprint,3,0.050174849249304376,0.33333333333333337,-1.0,0.7357682804511742,0.6855934312018698,0.0,1.0
sample_1760,w/o transport-aware footprint,3,-0.029318524588989092,0.0,0.0,0.6983085846164107,0.7276271092053997,0.0,0.0
sample_1765,w/o transport-aware footprint,1,-0.05523778199395635,0.0,0.0,0.7472223546803933,0.8024601366743497,0.0,0.0
sample_1787,w/o transport-aware footprint,2,0.02881755594203894,0.5,0.0,0.8578425915619972,0.8290250356199582,0.0,0.0
sample_1809,w/o transport-aware footprint,1,0.02554270264415537,0.0,0.0,0.8628868961528328,0.8373441935086774,0.0,0.0
sample_1811,w/o transport-aware footprint,2,0.080831912670562,0.0,0.0,0.6946306582393573,0.6137987455687953,0.0,0.0
sample_1812,w/o transport-aware footprint,1,-0.09665755931999531,0.0,0.0,0.7067382469521315,0.8033958062721268,0.0,0.0
sample_1815,w/o transport-aware footprint,3,0.0405799097566486,0.0,0.0,0.3635838388843367,0.3230039291276881,1.0,1.0
sample_1826,w/o transport-aware footprint,2,-0.0004768450132216495,0.0,0.0,0.8067408156388226,0.8072176606520443,0.0,0.0
sample_1837,w/o transport-aware footprint,2,0.14902320865609553,0.0,0.0,0.8899109217661261,0.7408877131100305,0.0,0.0
sample_1839,w/o transport-aware footprint,1,0.10627188616861571,0.0,0.0,0.9044998777207724,0.7982279915521567,0.0,0.0
sample_1843,w/o transport-aware footprint,1,0.06777989876409851,0.0,0.0,0.8803380382991276,0.8125581395350291,0.0,0.0
sample_1858,w/o transport-aware footprint,3,0.14491458560958448,0.33333333333333337,-1.0,0.8391677085194144,0.6942531229098299,0.0,1.0
sample_1863,w/o transport-aware footprint,2,0.17795144156349418,0.0,0.0,0.6938194753226378,0.5158680337591436,0.0,0.0
sample_1865,w/o transport-aware footprint,2,0.12725463069021414,0.0,0.0,0.9138609532138516,0.7866063225236375,0.0,0.0
sample_1869,w/o transport-aware footprint,3,-0.029380245142197503,0.0,0.0,0.784237826120672,0.8136180712628696,1.0,1.0
sample_1881,w/o transport-aware footprint,2,-0.03409286783078669,0.0,0.0,0.4704310056803621,0.5045238735111488,0.0,0.0
sample_1885,w/o transport-aware footprint,3,-0.08098694300295661,0.0,0.0,0.4577610734485027,0.5387480164514593,0.0,0.0
sample_1893,w/o transport-aware footprint,1,0.1425619999541089,0.0,0.0,0.7944103014341569,0.651848301480048,0.0,0.0
sample_1894,w/o transport-aware footprint,1,0.06345079684695487,0.0,0.0,0.5597918722530189,0.496341075406064,0.0,0.0
sample_1904,w/o transport-aware footprint,1,0.16708746719182976,0.0,0.0,0.8829094696641933,0.7158220024723635,0.0,0.0
sample_1927,w/o transport-aware footprint,3,0.05078524322479239,0.0,0.0,0.449372528795227,0.3985872855704346,1.0,1.0
sample_1944,w/o transport-aware footprint,2,0.02241342840442495,0.0,0.0,0.7511003412295381,0.7286869128251131,0.0,0.0
sample_1989,w/o transport-aware footprint,2,-0.06614768024835893,0.0,0.0,0.7470303563574227,0.8131780366057816,0.0,0.0
sample_1993,w/o transport-aware footprint,3,0.08691607187873407,0.0,0.0,0.7608171628300107,0.6739010909512766,1.0,1.0
sample_2021,w/o transport-aware footprint,3,0.03768744022691284,0.0,-1.0,0.7535629796319447,0.7158755394050319,0.0,1.0
sample_2024,w/o transport-aware footprint,2,-0.0021368711924181216,0.0,0.0,0.7801899025390973,0.7823267737315154,1.0,1.0
sample_2044,w/o transport-aware footprint,2,0.08179177689564376,0.0,0.0,0.7509632224170307,0.669171445521387,0.0,0.0
sample_2059,w/o transport-aware footprint,3,-0.026547495073686922,0.0,0.0,0.7466105117406836,0.7731580068143705,0.0,0.0
sample_2067,w/o transport-aware footprint,3,0.08007983913029693,0.0,0.0,0.7753681086634373,0.6952882695331404,0.0,0.0
sample_2069,w/o transport-aware footprint,2,0.013678544987829055,0.0,0.0,0.7393567848977087,0.7256782399098797,0.0,0.0
sample_2070,w/o transport-aware footprint,2,-0.024544510849958123,0.0,0.0,0.8077571669477971,0.8323016777977552,0.0,0.0
sample_2072,w/o transport-aware footprint,3,-0.0036973954276395826,0.0,0.0,0.7360229628449255,0.7397203582725651,1.0,1.0
sample_2077,w/o transport-aware footprint,3,0.10822472023694996,0.33333333333333337,-1.0,0.75666883539369,0.64844411515674,0.0,1.0
sample_2079,w/o transport-aware footprint,2,0.083332489908441,0.0,0.0,0.6270803369636048,0.5437478470551638,0.0,0.0
sample_2086,w/o transport-aware footprint,1,-0.004105293396478138,0.0,0.0,0.8903321275896988,0.894437420986177,0.0,0.0
sample_2087,w/o transport-aware footprint,2,0.07757540627677473,0.0,0.0,0.6419405320816574,0.5643651258048826,0.0,0.0
sample_2111,w/o transport-aware footprint,2,0.04284633860451226,0.0,0.0,0.8962738120159639,0.8534274734114516,0.0,0.0
sample_2119,w/o transport-aware footprint,2,0.01759229389994632,0.0,0.0,0.8226450552032641,0.8050527613033178,0.0,0.0
sample_2121,w/o transport-aware footprint,2,-0.06661332214046423,0.0,0.0,0.7804751530242297,0.8470884751646939,0.0,0.0
sample_2129,w/o transport-aware footprint,3,-0.34266891655552556,0.0,0.0,0.4933160415006518,0.8359849580561773,0.0,0.0
