sample_id,num_foci,depth_tier,source_type,shape_set,gt_component_count,pred_component_count,matched_component_count,missed_component_count,false_component_count,merge_count,split_count,component_recall,component_precision,mean_matched_iou,small_component_recall,method
sample_1620,2,medium,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.440337949338131,,SSQ-FMT
sample_1634,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.5472009605282906,,SSQ-FMT
sample_1635,3,medium,uniform,ellipsoid+irregular,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.5966066029585156,,SSQ-FMT
sample_1642,2,medium,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.4826728498901265,,SSQ-FMT
sample_1643,3,shallow,uniform,ellipsoid+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.7049770185513549,,SSQ-FMT
sample_1683,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.6864452912357104,,SSQ-FMT
sample_1686,2,deep,uniform,ellipsoid,2,2,2,0,0,0,0,1.0,1.0,0.7019673245004479,,SSQ-FMT
sample_1688,3,deep,uniform,ellipsoid+irregular+sphere,3,3,3,0,0,0,0,1.0,1.0,0.4900374629575872,,SSQ-FMT
sample_1697,2,shallow,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.4663321285658964,,SSQ-FMT
sample_1717,3,medium,uniform,ellipsoid+irregular,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.6457465270194681,,SSQ-FMT
sample_1718,3,medium,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.5700280254544432,,SSQ-FMT
sample_1729,2,deep,uniform,ellipsoid,2,2,2,0,0,0,0,1.0,1.0,0.7082979035289465,,SSQ-FMT
sample_1731,2,shallow,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.4977676530457925,,SSQ-FMT
sample_1734,2,deep,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.4651188695694793,,SSQ-FMT
sample_1741,3,deep,uniform,irregular,3,3,3,0,0,0,0,1.0,1.0,0.6018168464153565,,SSQ-FMT
sample_1760,3,shallow,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.4961612365005011,,SSQ-FMT
sample_1765,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.596452496954933,,SSQ-FMT
sample_1787,2,deep,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.4613666820307965,,SSQ-FMT
sample_1809,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.7588399898244721,,SSQ-FMT
sample_1811,2,shallow,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.5381078662743224,,SSQ-FMT
sample_1812,1,shallow,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.5466325263811297,,SSQ-FMT
sample_1815,3,medium,uniform,ellipsoid+irregular+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.1989163420780389,,SSQ-FMT
sample_1826,2,shallow,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.7070419970869073,,SSQ-FMT
sample_1837,2,shallow,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.7445108571125261,,SSQ-FMT
sample_1839,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.8256501841723407,,SSQ-FMT
sample_1843,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.7862534125582142,,SSQ-FMT
sample_1858,3,medium,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.7029679433178803,,SSQ-FMT
sample_1863,2,shallow,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5786024569640905,,SSQ-FMT
sample_1865,2,deep,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.838251241423055,,SSQ-FMT
sample_1869,3,deep,uniform,ellipsoid+irregular+sphere,2,1,1,1,0,1,0,0.5,1.0,0.5324165029469549,,SSQ-FMT
sample_1881,2,deep,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.2854850678143628,,SSQ-FMT
sample_1885,3,shallow,uniform,ellipsoid+sphere,3,4,3,0,1,0,0,1.0,0.75,0.3459844985645318,,SSQ-FMT
sample_1893,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.658939191649472,,SSQ-FMT
sample_1894,1,medium,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.3886397608370702,,SSQ-FMT
sample_1904,1,deep,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.7903651903651904,,SSQ-FMT
sample_1927,3,medium,uniform,irregular+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.3198684015237718,,SSQ-FMT
sample_1944,2,medium,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5830617488317555,,SSQ-FMT
sample_1989,2,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.6283786151438807,,SSQ-FMT
sample_1993,3,deep,uniform,ellipsoid+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.6012922743473895,,SSQ-FMT
sample_2021,3,shallow,uniform,ellipsoid+irregular,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.6249959951790213,,SSQ-FMT
sample_2024,2,deep,uniform,irregular,2,1,1,1,0,1,0,0.5,1.0,0.4236999910498523,,SSQ-FMT
sample_2044,2,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5001753777175559,,SSQ-FMT
sample_2059,3,shallow,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.5107322838692386,,SSQ-FMT
sample_2067,3,medium,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.6486759913376343,,SSQ-FMT
sample_2069,2,shallow,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5338159555222548,,SSQ-FMT
sample_2070,2,deep,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.634402445563389,,SSQ-FMT
sample_2072,3,shallow,uniform,ellipsoid+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.6240629802433564,,SSQ-FMT
