sample_id,num_foci,depth_tier,source_type,shape_set,shape_class,has_sphere,has_ellipsoid,has_irregular,dice,iou,precision,recall,nrmse,psnr,ssim,cle,ple,cnr,flops_g,volume_error,assd,hd95,inference_time_ms,peak_gpu_memory_mb,pred_positive_count,gt_positive_count,method
sample_0525,3,medium,uniform,ellipsoid+irregular,mixed_two_shape,0,1,1,0.5552012514291829,0.3842758390943747,0.4666262135927724,0.6852814495771792,0.0365861020982265,28.733677388281837,0.990774194224803,7.567636764000301,1.2328828005937953,1.5215862771736597,,0.4685875538392989,4.7941259459362415,28.83088620974173,3275.359925995872,3734.1640625,9888,6733,SSQ-FMT
sample_0535,2,medium,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.8250636857914813,0.702219921040902,0.784412955465743,0.870157991819817,0.0288041010499,30.81091342930939,0.993313920587386,0.2310642841851121,4.3220365569948616,3.0807589694302138,,0.1093110915069372,0.2363100747898802,0.6000000000000001,3281.4086060025147,3735.1015625,13832,12469,SSQ-FMT
sample_0536,2,deep,uniform,sphere,sphere,1,0,0,0.756917331522868,0.6089034548687575,0.6520912547533605,0.9019012944985804,0.0237958841025829,32.469963116676645,0.9954406192068678,2.959850457772683,18.57525235360209,3.62302442689612,,0.3830906148867314,0.2498625069193882,0.7483314773547883,3253.03871199867,3734.6015625,6838,4944,SSQ-FMT
sample_0541,1,shallow,uniform,irregular,irregular,0,0,1,0.8667374312459069,0.7648160762946784,0.8658183921344403,0.8676584234933005,0.016347786411643,35.730820054886905,0.9975711629771696,0.2512789772992421,3.3105890714493698,2.9501838890637324,,0.0021251931993817,0.1340595983873778,0.3464101615137755,3421.368078001251,3734.9765625,5187,5176,SSQ-FMT
sample_0566,3,medium,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.6029715229056062,0.4316100443133861,0.5166978224627309,0.72383041970435,0.0461362972855567,26.719145160532936,0.9860361635029724,0.7784367058617931,5.126402247190519,1.690795227726894,,0.4008776275744922,0.492022933406713,1.82208671582886,3443.438212001638,3735.3515625,19793,14129,SSQ-FMT
sample_0585,2,deep,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.5194493006995633,0.3508487084875639,0.998739495798322,0.3510041346726587,0.0376132987439632,28.493171205982865,0.9911549142561308,2.3824827853146022,12.84056073541962,0.8862369947434616,,0.648552864737153,0.6106092370543869,1.341640786499874,3555.471141997259,3734.1640625,4760,13544,SSQ-FMT
sample_0603,1,medium,uniform,irregular,irregular,0,0,1,0.8829140336235347,0.7903725050701351,0.8149900946513151,0.9631893860562394,0.0197824873030185,34.07438198410785,0.996763840920344,0.1387790658534755,2.7202941017470885,5.874899826255155,,0.1818418314255983,0.1392913479830916,0.4,3467.700473993318,3735.1015625,9086,7688,SSQ-FMT
sample_0610,2,medium,uniform,sphere,sphere,1,0,0,0.7649038156309029,0.6193070833765607,0.6802936194244151,0.8735498839909026,0.0279875937849283,31.060688559358084,0.9944947515010578,0.3208510602999661,7.840918313565064,3.2186727909999755,,0.2840777262180974,0.2757729251353223,1.1313708498984762,3450.4099799960386,3734.6015625,8855,6896,SSQ-FMT
sample_0626,3,shallow,uniform,ellipsoid+sphere,mixed_two_shape,1,1,0,0.5015924323812798,0.3347503331011136,0.3632358003446724,0.8101965601968517,0.0441820211708545,27.095088495717658,0.9879544100945712,1.7096359278200066,2.297825058615212,2.220234776636105,,1.230497542997543,0.5994209829164415,1.2328828005937953,3450.925187004032,3734.9765625,14525,6512,SSQ-FMT
sample_0633,2,medium,uniform,irregular+sphere,mixed_two_shape,1,0,1,0.730434782608985,0.5753424657541428,0.6131939437642155,0.9031059198303608,0.0224780850112438,32.96481408796767,0.995675696162743,3.568474910252782,2.374868417407584,3.685303516208749,,0.4727900185824263,0.2372093011275211,0.6000000000000001,3394.2788600033964,3735.3515625,5548,3767,SSQ-FMT
